Number,Labels
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,2
111,0
112,0
113,0
114,0
115,0
116,3
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,2
127,0
128,0
129,0
130,0
131,2
132,0
133,0
134,0
135,2
136,0
137,2
138,2
139,2
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,2
149,0
150,2
151,0
152,2
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,2
163,0
164,0
165,2
166,0
167,2
168,2
169,0
170,0
171,0
172,0
173,0
174,2
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,2
187,0
188,0
189,0
190,0
191,0
192,0
193,2
194,2
195,0
196,0
197,0
198,0
199,0
200,0
201,2
202,2
203,3
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,3
215,2
216,0
217,0
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,3
226,2
227,2
228,3
229,2
230,2
231,2
232,3
233,3
234,2
235,2
236,2
237,3
238,2
239,2
240,2
241,0
242,2
243,2
244,2
245,2
246,2
247,4
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,3
258,3
259,2
260,2
261,2
262,2
263,2
264,2
265,4
266,2
267,3
268,4
269,2
270,2
271,0
272,2
273,2
274,2
275,2
276,2
277,1
278,2
279,2
280,2
281,1
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,1
297,2
298,2
299,1
300,2
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,2
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,2
358,0
359,0
360,0
361,0
362,0
363,3
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,2
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,2
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,2
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,2
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
